GPE	NORP	ORG	PERSON
Sutter County		Concerned Citizens for Drug Prevention, Inc.	Oren R. Fox
San Bernardino County		Bureau of Alcohol, Tobacco and Firearms, DOJ	Jim Maready
Sierra County		Illinois Drug Education Alliance	Charles C. Plummer
San Joaquin County		Oklahoma Narcotic Association	Ken Marvin
Napa County		Research Center	Steve Magarian
Merced County		Northwest Center for Health & Safety	Jerry L. Harper
Monterey County		Lion’s Club International National Families in Action National Family Partnership of Arkansas	Don McDonald
Tuolumne County		The International Drug Strategy Institute	Scott Newman
Riverside County		Conservative Care Specialists Medical Group	Kevin Donnelley
Nevada County		USC	Dan L. Lucas
Plumas County		Concerned Citizens for Drug Prevention	Ronald Jarrell
Santa Clara County		M.D., Brotman Medical Center	Glenn Seymour
San Mateo County		California Society of Addiction Medicine	Jerry Shadinger
Ventura County		Orange County Alcohol & Drug Advisory Board	Carl Sparks
San Benito County		M.D., UCLA School of Medicine Forest Tennant	Michael Meyers
Shasta County		Orange Police Department	Donald Tashkin
Tehama County 		Grover Beach Police Department	Richard D. Hulse
Santa Barbara County		Santa Ana Police Department	Michael W. Ferguson
Orange County		Seal Beach Police Department	Brad Gates
Riverside County 		Vacaville Police Department	Mark Ihde
Tehama County		Pismo Beach	Ed Bonner
Sacramento County		Monrovia Police Department	Donald Horsley
Modoc County		Dixon Police Department	Ed Jagels
Sonoma County		Anaheim Police Department	Robert Heard
Jr.		Lakeport Police Department	Thomas W. Sneddon
Lake County		Montebello Police Department	M. Sue Jackson
San Luis Obispo		Arcadia Police Department	Ed Williams
Trinity County		Newport Beach	Jan Scully
Tuolumne County		Downey Police Department	Dennis L. Stout
Ventura County		Laguna Beach Police Department	Arthur R. Brandwood
Jr.		Palos Verdes Estates Police Department	Jeffrey A. Thompson
Orange County Superintendent		Westminster Police Department	Larry Carpenter
		Huntington Beach Police Department	Jim Pope
		Hawaiian Gardens Police Department	Gary Penrod
		Benecia Police Department	William Hodgman
		Fountain Valley Police Department	Gordon Spencer
		Fullerton Police Department	Larry Smith
		Glendale Police Department	Lee Adams
		La Palma Police Department	Robert S. Holzapfel
		Ret	William B. Kolender
		Rio Vista Police Department	Gary T. Yancey
		LaHabra Police Department	Stephen O. Hedstrom
		Los Alamitos Police Department	Donald E. Stoy
		Morro Bay Police Department	James C. Brazelton
		Brea Police Department	David W. Paulson
		Torrance Police Department	Bradford R. Fenocchio
		Vallejo Police Department	Riverside County
		LaVerne Police Department	Mike Capizzi
		Fairfield Police Department	Charles Gillingham
		El Monte Police Department	Gary D. Tindel
		Placentia Police Department	Dennis J. Sheehy
		Costa Mesa Police Department	Charles Byrd
		Huntington Beach	John Powers
		Suisun City Police Department	Gary L. Simpson
		Tustin Police Department	Grover Trask
		Irvine Police Department	Ridgely L. Lazard
		Sacramento Police Department	Hugh E. Comisky
		Garden Grove Police Department	Christine A. Johnson
		California Associations United for Student Enrichment	James P. Fox
		F.B.I.	Richard Nutting
		Julianne Holt  Bruce	Norman G. Hicks
		Realty Trust Advisors & Investoments  Rufert & Sons Electrical Service	Anthony Perez
		The San Diego Union-Tribune	J. Michael Mullins
		Capistrano Unified School District	Glen Craig
		Sundale Union Elementary School	Bill Wittman
		Sentinel Corporation Terrance P. Tallen	Jim Thomas
		COMMUNITY	Wayne C. Clayton
		Talcor Group, Inc.	W. Douglas Franks
		Huntington Beach Police Department	Patrick McKinley
		Fullerton College	Michael Cook
		UCLA	Joseph C. Deladurantey
		St. Louis Rams Football Club  Future Business Leaders of America	Dave Barr
		Professor of Management and Public Policy	Jimmie D. Kennedy
		The Fresno Bee - 	William D. Huffman
		Ret	Tom Engstrom
		Entertainment Industries Council	William C. Lentini
		BEST Foundation For A Drug-Free	Arturo Venegas
		San Clemente Police Department	Michael J. Skogh
		Dean Witter	Gregory C. Caldwell
			Elvin G. Miali
			Robert Chalk
			Ronald E. Lowenberg
			James M. Gardiner
			Ronald P. George
			Davis Brown
			Earle Robitaille
			Rick C. Fuller
			Ernest M. Klevesahl
			Charles R. Gross
			Manuel Ortega
			Stan Knee
			James Cook
			Otto Giuliani
			Doug Milender
			Nina B. Deane
			Charles S. Brobeck
			W. D. “
			Joseph S. Loven
			Walter McKinney
			Cal State
			Joseph A. Santoro
			Ret
			Gary E. Johansen
			Paul Walters
			Ronnie Garner
			Ronald R. Ingels
			John R. Robertson
			Chief H. A. “Hal” Fischer
			Steven H. Staveley
			Robert Nichelini
			David L. Cross
			Dave Snowden
			Larry Profitt
			Michael D. Bradbury
			Philip A. Goehring
			Richard K. Propster
			Neil J. Purcell
			Dan Boon
			Ron Forsythe
			G. Steve Simonian
			James E. Anthony
			Larry Deutchman
			Kae A. Ewing
			Patricia Jefferds
			Tom W. Thomson
			Jack T. Faulkner
			Jimmie D. Kennedy
			Sharon Rose
			James Q. Wilson
			Lisa Hughes
			William
			Jim Annes
			Paul Chamberlain International
			Betty Sembler
			Errol
			Dale S. Holmes
			Earl D. Bellm Doris L. Booth
			Joanne R. Jensen
			Stacy T. Picascia
			James A. Fleming
			John F. Dean
			Mel
			Thomas Clifford
			Philip A. Goehring
			Kelson McDaniel
			G. L. “
